Example 1: Value Tesco using the Multiple Method,,,,,(Data source: pro forma F/S; market data; consensus forecasts),,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Market data (29/04/2016),,,,Past accounting data (2015/16A),,,"Normalized EPS, i.e., NP from cont. op., attr. to O/S (£/€)",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Listing,,Share price,Ord. shares outstanding,Cap,Total assets,"Net debt, i.e., NFL",Sales revenue,EBITDA,Ordinary equity,,,,,
Company,Ticker,exchange,Currency,(£/€),(# mil.),(£/€ mil.),(£/€ mil.)2,(£/€ mil.)3,(£/€ mil.)4,(£/€ mil.)5,(£/€ mil.)6,2015/16A,2016/17E,,,
Tesco,TSCO,LSE,£,1.98,8126,16089.48,43904,6227,54433,2380,8626,0.017035266,0.064362063,,,
Ahold,AD,AEX,€,20.24,1268,25664.32,15880,720,38203,2175,5623,1.25,1.12,,,
Booker,BOK,LSE,£,2.066,1786,3689.876,1386,-127,4992,177,590,0.07,0.0795,,,
Carrefour,CA,PAR,€,22.53,758,17077.74,45095,4539,78857,3615,9633,1.64,1.52,,,
Casino,CO,PAR,€,51.03,111,5664.33,39833,6787,46145,1676,5883,1.69,2.31,,,
Colruyt,COLR,BRU,€,45.83,150,6874.5,4019,-425,9178,703,2044,2.49,1.066,,,
DIA,DIA,MCE,€,5.14,621,3191.94,3443,1124,8925,479,313,-0.6,0.2,,,
Metro,MEOX,GER,€,31.11,325,10110.75,24952,1863,58417,2314,5320,1.88,1.77,,,
Morrison,MRW,LSE,£,2.472,2334,5769.648,9307,1716,16122,600,3756,0.09,0.1077,,,
Sainsbury,SBRY,LSE,£,2.646,2203,5829.138,16973,1222,23506,1266,6365,0.23,0.202,,,
,,,,,,,,,,,,,,,,
,Date of valuation: ,,30-Apr-2016,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Step 1: Choice of value driver,,,,,,,,,,,,,,,
,,,,,Enterprise (£/€ mil.),,,Equity (£/€),,,,,,,,
,,Column1,Column2,NOA0,S0,EBITDA0,B0,E0,E1,,,,,,,
,,Tesco,,14853,54433,2380,1.061530889,0.017035266,0.064362063,,,,,,,
,,Ahold,,6343,38203,2175,4.434542587,1.25,1.12,,,,,,,
,,Booker,,463,4992,177,0.330347144,0.07,0.0795,,,,,,,
,,Carrefour,,14172,78857,3615,12.70844327,1.64,1.52,,,,,,,
,,Casino,,12670,46145,1676,53,1.69,2.31,,,,,,,
,,Colruyt,,1619,9178,703,13.62666667,2.49,1.066,,,,,,,
,,DIA,,1437,8925,479,0.504025765,-0.6,0.2,,,,,,,
,,Metro,,7183,58417,2314,16.36923077,1.88,1.77,,,,,,,
,,Morrison,,5472,16122,600,1.609254499,0.09,0.1077,,,,,,,
,,Sainsbury,,7587,23506,1266,2.889241943,0.23,0.202,,,,,,,
,,,,,,,,,,,,,,,,
,,Multiples of comparables,Column1,Column2,Enterprise,Column3,Column4,Equity,Column5,,,,,,,
,,,EV (£/€ mil.),EV/NOA0,EV/S0,EV/EBITDA0,P/B0,P/E0,P/E1,,,,,,,
